Direction,Year,Date,Country,Product,Transport_mode,Measure,Value
Exports,2015,31/01/2015,All,All,All,$,257000000
Exports,2015,01/02/2015,All,All,All,$,123000000
Exports,2015,02/02/2015,All,All,All,$,176000000
Exports,2015,03/02/2015,All,All,All,$,115000000
Exports,2015,04/02/2015,All,All,All,$,74000000
Exports,2015,05/02/2015,All,All,All,$,119000000
Exports,2015,06/02/2015,All,All,All,$,127000000
Exports,2015,07/02/2015,All,All,All,$,206000000
Exports,2015,08/02/2015,All,All,All,$,114000000
Exports,2015,09/02/2015,All,All,All,$,202000000
Exports,2015,10/02/2015,All,All,All,$,88000000
Exports,2015,11/02/2015,All,All,All,$,67000000
Exports,2015,12/02/2015,All,All,All,$,132000000
Exports,2015,13/02/2015,All,All,All,$,143000000
Exports,2015,14/02/2015,All,All,All,$,146000000
Exports,2015,15/02/2015,All,All,All,$,111000000
Exports,2015,16/02/2015,All,All,All,$,226000000
Exports,2015,17/02/2015,All,All,All,$,171000000
Exports,2015,18/02/2015,All,All,All,$,120000000
Exports,2015,19/02/2015,All,All,All,$,157000000
Exports,2015,20/02/2015,All,All,All,$,157000000
Exports,2015,21/02/2015,All,All,All,$,184000000
Exports,2015,22/02/2015,All,All,All,$,135000000
Exports,2015,23/02/2015,All,All,All,$,185000000
Exports,2015,24/02/2015,All,All,All,$,94000000
Exports,2015,25/02/2015,All,All,All,$,113000000
Exports,2015,26/02/2015,All,All,All,$,130000000
Exports,2015,27/02/2015,All,All,All,$,127000000
Exports,2015,28/02/2015,All,All,All,$,145000000
Exports,2015,01/03/2015,All,All,All,$,386000000
Exports,2015,02/03/2015,All,All,All,$,219000000
Exports,2015,03/03/2015,All,All,All,$,163000000
Exports,2015,04/03/2015,All,All,All,$,125000000
Exports,2015,05/03/2015,All,All,All,$,158000000
Exports,2015,06/03/2015,All,All,All,$,153000000
Exports,2015,07/03/2015,All,All,All,$,174000000
Exports,2015,08/03/2015,All,All,All,$,112000000
Exports,2015,09/03/2015,All,All,All,$,209000000
Exports,2015,10/03/2015,All,All,All,$,118000000
Exports,2015,11/03/2015,All,All,All,$,85000000
Exports,2015,12/03/2015,All,All,All,$,160000000
Exports,2015,13/03/2015,All,All,All,$,130000000
Exports,2015,14/03/2015,All,All,All,$,100000000
Exports,2015,15/03/2015,All,All,All,$,133000000
Exports,2015,16/03/2015,All,All,All,$,213000000
Exports,2015,17/03/2015,All,All,All,$,109000000
Exports,2015,18/03/2015,All,All,All,$,116000000
Exports,2015,19/03/2015,All,All,All,$,164000000
Exports,2015,20/03/2015,All,All,All,$,131000000
Exports,2015,21/03/2015,All,All,All,$,197000000
Exports,2015,22/03/2015,All,All,All,$,146000000
Exports,2015,23/03/2015,All,All,All,$,175000000
Exports,2015,24/03/2015,All,All,All,$,130000000
Exports,2015,25/03/2015,All,All,All,$,74000000
Exports,2015,26/03/2015,All,All,All,$,219000000
Exports,2015,27/03/2015,All,All,All,$,117000000
Exports,2015,28/03/2015,All,All,All,$,165000000
Exports,2015,29/03/2015,All,All,All,$,140000000
Exports,2015,30/03/2015,All,All,All,$,220000000
Exports,2015,31/03/2015,All,All,All,$,161000000
Exports,2015,01/04/2015,All,All,All,$,82000000
Exports,2015,02/04/2015,All,All,All,$,137000000
Exports,2015,03/04/2015,All,All,All,$,158000000
Exports,2015,04/04/2015,All,All,All,$,192000000
Exports,2015,05/04/2015,All,All,All,$,153000000
Exports,2015,06/04/2015,All,All,All,$,206000000
Exports,2015,07/04/2015,All,All,All,$,108000000
Exports,2015,08/04/2015,All,All,All,$,81000000
